Country_ISO3,Year,Technology,Value
CHE,2017,Solar,33.0
CHE,2017,Storage (not electromobility),25.5
CHE,2017,Wind,15.2
CHE,2018,Air - Rail - Marine,16.0
CHE,2018,All technologies (total patents),3817.66
CHE,2018,Bioenergy,1.16
CHE,2018,Building Energy Efficiency,32.5
CHE,2018,Carbon Capture and Storage,5.33
CHE,2018,Grid,4.5
CHE,2018,Hybrid - Electric - Electromobility,49.67
CHE,2018,Hydro,2.5
CHE,2018,Hydrogen and Fuel Cells,15.5
CHE,2018,Industry Energy Efficiency or substitution,24.990000000000002
CHE,2018,Other Energy Efficiency ,13.61
CHE,2018,Other Renewables,2.0
CHE,2018,Other Road Transport,22.25
CHE,2018,Renewable Energy Integration in Buildings,5.0
CHE,2018,Solar,34.17
CHE,2018,Storage (not electromobility),26.9
CHE,2018,Wind,7.0
CHE,2019,Air - Rail - Marine,5.75
CHE,2019,All technologies (total patents),3779.24
CHE,2019,Bioenergy,5.5
CHE,2019,Building Energy Efficiency,32.2
CHE,2019,Carbon Capture and Storage,7.0
CHE,2019,Grid,3.33
CHE,2019,Hybrid - Electric - Electromobility,42.75
CHE,2019,Hydro,4.0
CHE,2019,Hydrogen and Fuel Cells,15.5
CHE,2019,Industry Energy Efficiency or substitution,25.5
CHE,2019,Other Energy Efficiency ,17.5
CHE,2019,Other Renewables,4.0
CHE,2019,Other Road Transport,17.0
CHE,2019,Renewable Energy Integration in Buildings,9.0
CHE,2019,Solar,33.58
CHE,2019,Storage (not electromobility),27.33
CHE,2019,Wind,6.0
CHL,1990,All technologies (total patents),9.83
CHL,1990,Carbon Capture and Storage,0.5
CHL,2000,All technologies (total patents),30.0
CHL,2000,Building Energy Efficiency,1.0
CHL,2000,Storage (not electromobility),1.5
CHL,2005,All technologies (total patents),68.37
CHL,2005,Grid,0.5
CHL,2005,Industry Energy Efficiency or substitution,3.67
CHL,2010,Air - Rail - Marine,1.0
CHL,2010,All technologies (total patents),137.61
CHL,2010,Bioenergy,0.14
CHL,2010,Carbon Capture and Storage,1.0
CHL,2010,Hybrid - Electric - Electromobility,1.33
CHL,2010,Hydrogen and Fuel Cells,0.33
CHL,2010,Industry Energy Efficiency or substitution,4.83
CHL,2010,Other Renewables,2.0
CHL,2010,Other Road Transport,1.17
CHL,2010,Solar,2.0
CHL,2010,Storage (not electromobility),0.67
CHL,2010,Wind,0.25
CHL,2015,All technologies (total patents),183.95
CHL,2015,Hybrid - Electric - Electromobility,0.5
CHL,2015,Hydrogen and Fuel Cells,1.0
CHL,2015,Industry Energy Efficiency or substitution,8.17
CHL,2015,Other Energy Efficiency ,2.5
CHL,2015,Other Road Transport,1.0
CHL,2015,Renewable Energy Integration in Buildings,1.0
CHL,2015,Solar,5.0
CHL,2015,Storage (not electromobility),1.5
CHL,2016,All technologies (total patents),152.83
CHL,2016,Bioenergy,2.0
CHL,2016,Building Energy Efficiency,1.0
CHL,2016,Hydrogen and Fuel Cells,2.0
CHL,2016,Industry Energy Efficiency or substitution,4.5
CHL,2016,Solar,4.5
CHL,2016,Storage (not electromobility),1.5
CHL,2016,Wind,1.33
CHL,2017,All technologies (total patents),165.1
CHL,2017,Carbon Capture and Storage,1.0
CHL,2017,Industry Energy Efficiency or substitution,7.2
CHL,2017,Other Energy Efficiency ,0.33
CHL,2017,Renewable Energy Integration in Buildings,1.0
CHL,2017,Solar,4.0
CHL,2017,Storage (not electromobility),3.0
CHL,2017,Wind,1.0
CHL,2018,All technologies (total patents),167.03
CHL,2018,Industry Energy Efficiency or substitution,8.0
CHL,2018,Other Renewables,1.0
CHL,2018,Storage (not electromobility),1.0
CHL,2018,Wind,1.0
CHL,2019,All technologies (total patents),144.98
CHL,2019,Bioenergy,1.0
CHL,2019,Grid,1.0
CHL,2019,Hydro,1.5
CHL,2019,Hydrogen and Fuel Cells,1.0
CHL,2019,Industry Energy Efficiency or substitution,8.0
CHL,2019,Other Renewables,1.5
CHN,1990,All technologies (total patents),154.2
CHN,1990,Building Energy Efficiency,0.5
CHN,1990,Carbon Capture and Storage,0.5
CHN,1990,Hydrogen and Fuel Cells,1.0
CHN,1990,Industry Energy Efficiency or substitution,2.5
CHN,1990,Other Road Transport,3.0
CHN,1990,Storage (not electromobility),3.0
CHN,2000,Air - Rail - Marine,0.33
CHN,2000,All technologies (total patents),2359.56
CHN,2000,Bioenergy,1.5
CHN,2000,Building Energy Efficiency,12.75
CHN,2000,Carbon Capture and Storage,0.33
CHN,2000,Hybrid - Electric - Electromobility,4.5
CHN,2000,Hydrogen and Fuel Cells,4.5
CHN,2000,Industry Energy Efficiency or substitution,2.0
CHN,2000,Other Energy Efficiency ,8.17
CHN,2000,Other Renewables,2.0
CHN,2000,Other Road Transport,4.5
CHN,2000,Renewable Energy Integration in Buildings,1.0
CHN,2000,Solar,4.67
CHN,2000,Storage (not electromobility),14.17
CHN,2005,Air - Rail - Marine,6.0
CHN,2005,All technologies (total patents),8091.99
CHN,2005,Bioenergy,9.370000000000001
CHN,2005,Building Energy Efficiency,63.37
CHN,2005,Carbon Capture and Storage,4.5
CHN,2005,Grid,3.25
CHN,2005,Hybrid - Electric - Electromobility,12.0
CHN,2005,Hydro,2.83
CHN,2005,Hydrogen and Fuel Cells,56.59
CHN,2005,Industry Energy Efficiency or substitution,19.2
CHN,2005,Nuclear,3.33
CHN,2005,Other Energy Efficiency ,83.25999999999999
CHN,2005,Other Renewables,2.83
CHN,2005,Other Road Transport,8.33
CHN,2005,Renewable Energy Integration in Buildings,6.5
CHN,2005,Solar,38.379999999999995
CHN,2005,Storage (not electromobility),86.25
CHN,2005,Wind,14.83
CHN,2010,Agriculture Energy Efficiency,2.0
CHN,2010,Air - Rail - Marine,11.3
CHN,2010,All technologies (total patents),18588.72
CHN,2010,Bioenergy,48.8
CHN,2010,Building Energy Efficiency,267.37
CHN,2010,Carbon Capture and Storage,5.25
CHN,2010,Grid,17.16
CHN,2010,Hybrid - Electric - Electromobility,101.25
CHN,2010,Hydro,13.5
CHN,2010,Hydrogen and Fuel Cells,55.78
CHN,2010,Industry Energy Efficiency or substitution,95.78
CHN,2010,Nuclear,8.5
CHN,2010,Other Energy Efficiency ,320.39
CHN,2010,Other Renewables,15.5
CHN,2010,Other Road Transport,79.07
CHN,2010,Renewable Energy Integration in Buildings,47.55
CHN,2010,Solar,240.38000000000002
CHN,2010,Storage (not electromobility),285.2
CHN,2010,Wind,93.8
CHN,2015,Agriculture Energy Efficiency,8.0
CHN,2015,Air - Rail - Marine,24.82
CHN,2015,All technologies (total patents),37428.03
CHN,2015,Bioenergy,28.67
CHN,2015,Building Energy Efficiency,429.58
CHN,2015,Carbon Capture and Storage,3.5
CHN,2015,Grid,27.5
CHN,2015,Hybrid - Electric - Electromobility,184.67
CHN,2015,Hydro,30.0
CHN,2015,Hydrogen and Fuel Cells,83.5
CHN,2015,Industry Energy Efficiency or substitution,113.41
CHN,2015,Nuclear,33.0
CHN,2015,Other Energy Efficiency ,495.74
CHN,2015,Other Renewables,26.0
CHN,2015,Other Road Transport,47.83
CHN,2015,Renewable Energy Integration in Buildings,28.67
CHN,2015,Solar,364.85999999999996
CHN,2015,Storage (not electromobility),452.44
CHN,2015,Wind,68.08
CHN,2016,Agriculture Energy Efficiency,6.0
CHN,2016,Air - Rail - Marine,62.5
CHN,2016,All technologies (total patents),45398.6
CHN,2016,Bioenergy,33.83
CHN,2016,Building Energy Efficiency,563.86
CHN,2016,Carbon Capture and Storage,8.0
CHN,2016,Grid,71.33
CHN,2016,Hybrid - Electric - Electromobility,325.42999999999995
CHN,2016,Hydro,14.5
CHN,2016,Hydrogen and Fuel Cells,93.33
CHN,2016,Industry Energy Efficiency or substitution,194.29000000000002
CHN,2016,Nuclear,11.5
CHN,2016,Other Energy Efficiency ,685.72
CHN,2016,Other Renewables,22.5
CHN,2016,Other Road Transport,81.08
CHN,2016,Renewable Energy Integration in Buildings,52.92
CHN,2016,Solar,529.12
CHN,2016,Storage (not electromobility),755.78
CHN,2016,Wind,83.0
CHN,2017,Agriculture Energy Efficiency,9.0
CHN,2017,Air - Rail - Marine,43.0
CHN,2017,All technologies (total patents),53730.07
CHN,2017,Bioenergy,35.5
CHN,2017,Building Energy Efficiency,614.2800000000001
CHN,2017,Carbon Capture and Storage,12.33
CHN,2017,Grid,74.0
CHN,2017,Hybrid - Electric - Electromobility,473.09
CHN,2017,Hydro,22.17
CHN,2017,Hydrogen and Fuel Cells,70.84
CHN,2017,Industry Energy Efficiency or substitution,186.82999999999998
CHN,2017,Nuclear,24.5
CHN,2017,Other Energy Efficiency ,674.0699999999999
CHN,2017,Other Renewables,36.17
CHN,2017,Other Road Transport,65.17
CHN,2017,Renewable Energy Integration in Buildings,57.75
CHN,2017,Solar,751.44
CHN,2017,Storage (not electromobility),971.51
CHN,2017,Wind,109.7
CHN,2018,Agriculture Energy Efficiency,11.0
CHN,2018,Air - Rail - Marine,43.5
CHN,2018,All technologies (total patents),60534.73
CHN,2018,Bioenergy,53.83
CHN,2018,Building Energy Efficiency,662.33
CHN,2018,Carbon Capture and Storage,14.5
CHN,2018,Grid,57.0
CHN,2018,Hybrid - Electric - Electromobility,365.96999999999997
CHN,2018,Hydro,32.0
CHN,2018,Hydrogen and Fuel Cells,130.07999999999998
CHN,2018,Industry Energy Efficiency or substitution,230.39
CHN,2018,Nuclear,19.0
CHN,2018,Other Energy Efficiency ,686.54
CHN,2018,Other Renewables,29.0
CHN,2018,Other Road Transport,67.67
CHN,2018,Renewable Energy Integration in Buildings,79.0
CHN,2018,Solar,853.81
CHN,2018,Storage (not electromobility),1156.45
CHN,2018,Wind,122.33
CHN,2019,Agriculture Energy Efficiency,26.0
CHN,2019,Air - Rail - Marine,36.5
CHN,2019,All technologies (total patents),67684.33
CHN,2019,Bioenergy,48.5
CHN,2019,Building Energy Efficiency,546.2
CHN,2019,Carbon Capture and Storage,6.5
CHN,2019,Grid,91.17
CHN,2019,Hybrid - Electric - Electromobility,461.18
CHN,2019,Hydro,35.5
CHN,2019,Hydrogen and Fuel Cells,199.5
CHN,2019,Industry Energy Efficiency or substitution,282.15999999999997
CHN,2019,Nuclear,22.0
CHN,2019,Other Energy Efficiency ,667.41
CHN,2019,Other Renewables,38.0
CHN,2019,Other Road Transport,73.5
CHN,2019,Renewable Energy Integration in Buildings,46.0
CHN,2019,Solar,548.48
CHN,2019,Storage (not electromobility),1316.0
CHN,2019,Wind,118.25
CIV,1990,All technologies (total patents),1.0
CIV,2000,All technologies (total patents),2.17
CIV,2005,All technologies (total patents),0.5
CIV,2010,All technologies (total patents),1.2
CIV,2010,Solar,0.2
CIV,2015,All technologies (total patents),2.33
CIV,2016,All technologies (total patents),2.33
CIV,2017,All technologies (total patents),2.42
CIV,2018,All technologies (total patents),2.0
CIV,2019,All technologies (total patents),2.0
CIV,2019,Industry Energy Efficiency or substitution,0.5
CMR,2000,All technologies (total patents),0.42
CMR,2005,All technologies (total patents),3.5
CMR,2010,All technologies (total patents),10.75
CMR,2010,Hydro,1.0
CMR,2015,All technologies (total patents),3.65
CMR,2016,All technologies (total patents),7.0
CMR,2016,Grid,0.67
CMR,2016,Other Road Transport,2.33
CMR,2017,All technologies (total patents),5.0
CMR,2017,Solar,1.0
CMR,2017,Storage (not electromobility),0.5
CMR,2018,All technologies (total patents),1.5
CMR,2019,All technologies (total patents),2.33
CMR,2019,Storage (not electromobility),0.5
COG,2000,All technologies (total patents),2.0
COG,2005,All technologies (total patents),1.2
COG,2010,All technologies (total patents),3.45
COG,2010,Industry Energy Efficiency or substitution,0.5
COG,2015,All technologies (total patents),1.0
COG,2016,All technologies (total patents),0.5
COG,2017,All technologies (total patents),0.5
COG,2018,All technologies (total patents),0.5
COG,2019,All technologies (total patents),1.33
COK,2000,All technologies (total patents),0.5
COK,2017,All technologies (total patents),0.33
COK,2018,All technologies (total patents),0.33
COL,1990,All technologies (total patents),5.33
COL,1990,Wind,0.5
COL,2000,All technologies (total patents),23.48
COL,2005,All technologies (total patents),26.02
COL,2005,Industry Energy Efficiency or substitution,0.25
COL,2005,Other Road Transport,1.0
COL,2010,All technologies (total patents),77.58
COL,2010,Bioenergy,1.0
COL,2010,Carbon Capture and Storage,0.58
COL,2010,Industry Energy Efficiency or substitution,1.4
COL,2010,Other Energy Efficiency ,0.5
COL,2010,Other Road Transport,1.33
COL,2010,Solar,0.8300000000000001
COL,2010,Wind,1.0
COL,2015,Air - Rail - Marine,1.0
COL,2015,All technologies (total patents),108.7
COL,2015,Bioenergy,0.17
COL,2015,Carbon Capture and Storage,2.0
COL,2015,Other Energy Efficiency ,0.33
COL,2015,Storage (not electromobility),0.33
COL,2016,All technologies (total patents),142.94
COL,2016,Bioenergy,2.0
COL,2016,Hydrogen and Fuel Cells,1.0
COL,2016,Industry Energy Efficiency or substitution,5.08
COL,2016,Other Road Transport,1.0
COL,2016,Renewable Energy Integration in Buildings,1.0
COL,2016,Solar,2.0
COL,2016,Storage (not electromobility),1.0
COL,2017,All technologies (total patents),164.48
COL,2017,Bioenergy,0.5
COL,2017,Building Energy Efficiency,0.5
COL,2017,Hydrogen and Fuel Cells,1.0
COL,2017,Industry Energy Efficiency or substitution,1.25
COL,2017,Other Road Transport,2.0
COL,2017,Wind,2.0
COL,2018,Air - Rail - Marine,0.25
COL,2018,All technologies (total patents),141.63
COL,2018,Building Energy Efficiency,1.0
COL,2018,Hybrid - Electric - Electromobility,0.5
COL,2018,Hydro,1.0
COL,2018,Industry Energy Efficiency or substitution,0.33
COL,2018,Renewable Energy Integration in Buildings,1.0
COL,2018,Solar,2.0
COL,2018,Storage (not electromobility),1.0
COL,2018,Wind,0.75
COL,2019,All technologies (total patents),134.22
COL,2019,Bioenergy,1.0
COL,2019,Building Energy Efficiency,1.0
COL,2019,Grid,0.5
COL,2019,Hybrid - Electric - Electromobility,0.5
COL,2019,Industry Energy Efficiency or substitution,1.33
COL,2019,Other Renewables,1.0
COL,2019,Storage (not electromobility),0.5
COL,2019,Wind,0.5
COM,2010,All technologies (total patents),0.5
COM,2015,All technologies (total patents),0.5
COM,2016,All technologies (total patents),1.33
CPV,2015,Air - Rail - Marine,0.67
CPV,2015,All technologies (total patents),1.67
CPV,2016,Air - Rail - Marine,0.33
CPV,2016,All technologies (total patents),0.33
CPV,2017,All technologies (total patents),1.17
CPV,2018,All technologies (total patents),0.5
CPV,2019,All technologies (total patents),0.5
CRI,1990,All technologies (total patents),0.5
CRI,2000,All technologies (total patents),10.08
CRI,2005,All technologies (total patents),13.42
CRI,2005,Bioenergy,1.0
CRI,2010,All technologies (total patents),17.78
CRI,2015,All technologies (total patents),10.85
CRI,2016,All technologies (total patents),23.28
CRI,2017,All technologies (total patents),27.34
CRI,2017,Bioenergy,1.0
CRI,2017,Industry Energy Efficiency or substitution,0.66
CRI,2018,All technologies (total patents),23.79
CRI,2018,Other Road Transport,0.5
CRI,2018,Solar,0.5
CRI,2019,All technologies (total patents),21.13
CRI,2019,Other Road Transport,1.0
CUB,1990,All technologies (total patents),13.0
CUB,2000,All technologies (total patents),14.58
CUB,2005,All technologies (total patents),32.67
CUB,2005,Bioenergy,0.33
CUB,2010,All technologies (total patents),11.88
CUB,2015,All technologies (total patents),4.08
CUB,2016,All technologies (total patents),9.79
CUB,2017,All technologies (total patents),8.51
CUB,2018,All technologies (total patents),11.83
CUB,2019,All technologies (total patents),7.88
CYP,1990,All technologies (total patents),3.83
CYP,2000,All technologies (total patents),18.5
CYP,2005,Air - Rail - Marine,2.0
CYP,2005,All technologies (total patents),37.74
CYP,2005,Solar,1.0
CYP,2005,Wind,2.0
CYP,2010,All technologies (total patents),24.25
CYP,2010,Building Energy Efficiency,0.5
CYP,2010,Solar,1.0
CYP,2015,All technologies (total patents),21.92
CYP,2015,Hydro,0.5
CYP,2015,Wind,0.5
CYP,2016,Air - Rail - Marine,0.33
CYP,2016,All technologies (total patents),18.95
CYP,2016,Hydro,1.0
CYP,2016,Wind,1.0
CYP,2017,All technologies (total patents),17.75
CYP,2017,Hydrogen and Fuel Cells,0.25
CYP,2018,Air - Rail - Marine,0.25
CYP,2018,All technologies (total patents),16.62
CYP,2019,All technologies (total patents),23.08
CYP,2019,Hydrogen and Fuel Cells,0.33
CYP,2019,Industry Energy Efficiency or substitution,0.5
CYP,2019,Solar,6.0
CZE,1990,All technologies (total patents),95.5
CZE,1990,Hydro,1.5
CZE,1990,Other Road Transport,0.5
CZE,2000,Air - Rail - Marine,1.0
CZE,2000,All technologies (total patents),152.5
CZE,2000,Building Energy Efficiency,0.5
CZE,2000,Industry Energy Efficiency or substitution,0.33
CZE,2000,Renewable Energy Integration in Buildings,2.0
CZE,2000,Solar,1.0
CZE,2000,Storage (not electromobility),0.5
CZE,2005,All technologies (total patents),248.36
CZE,2005,Bioenergy,4.17
CZE,2005,Building Energy Efficiency,0.5
CZE,2005,Hybrid - Electric - Electromobility,0.33
CZE,2005,Hydro,1.0
CZE,2005,Industry Energy Efficiency or substitution,2.5
CZE,2005,Other Energy Efficiency ,2.0
CZE,2005,Other Road Transport,1.5
CZE,2005,Storage (not electromobility),0.5
CZE,2005,Wind,1.0
CZE,2010,Air - Rail - Marine,0.83
CZE,2010,All technologies (total patents),335.62
CZE,2010,Bioenergy,1.5
CZE,2010,Building Energy Efficiency,4.0
CZE,2010,Carbon Capture and Storage,1.0
CZE,2010,Grid,2.0
CZE,2010,Hybrid - Electric - Electromobility,1.0
CZE,2010,Hydrogen and Fuel Cells,1.0
CZE,2010,Industry Energy Efficiency or substitution,1.0
CZE,2010,Nuclear,2.0
CZE,2010,Other Energy Efficiency ,1.0
CZE,2010,Other Road Transport,2.83
CZE,2010,Renewable Energy Integration in Buildings,0.5
CZE,2010,Solar,5.0
CZE,2010,Storage (not electromobility),4.5
CZE,2015,Agriculture Energy Efficiency,1.0
CZE,2015,Air - Rail - Marine,1.33
CZE,2015,All technologies (total patents),505.08
CZE,2015,Bioenergy,3.0
CZE,2015,Building Energy Efficiency,4.0
CZE,2015,Carbon Capture and Storage,0.5
CZE,2015,Hybrid - Electric - Electromobility,2.75
CZE,2015,Hydrogen and Fuel Cells,0.5
CZE,2015,Industry Energy Efficiency or substitution,1.0
CZE,2015,Nuclear,3.0
CZE,2015,Other Energy Efficiency ,2.0
CZE,2015,Other Road Transport,9.33
CZE,2015,Storage (not electromobility),3.5
CZE,2016,Air - Rail - Marine,2.83
CZE,2016,All technologies (total patents),471.8
CZE,2016,Bioenergy,4.5
CZE,2016,Building Energy Efficiency,8.33
CZE,2016,Hybrid - Electric - Electromobility,1.5
CZE,2016,Hydro,1.0
CZE,2016,Industry Energy Efficiency or substitution,3.0
CZE,2016,Nuclear,1.5
CZE,2016,Other Energy Efficiency ,3.5
CZE,2016,Other Road Transport,12.42
CZE,2016,Renewable Energy Integration in Buildings,0.33
CZE,2016,Solar,0.66
CZE,2016,Storage (not electromobility),2.5
CZE,2016,Wind,1.0
CZE,2017,Air - Rail - Marine,4.0
CZE,2017,All technologies (total patents),522.29
CZE,2017,Bioenergy,2.0
CZE,2017,Building Energy Efficiency,5.0
CZE,2017,Carbon Capture and Storage,1.5
CZE,2017,Hybrid - Electric - Electromobility,4.140000000000001
CZE,2017,Hydro,1.0
CZE,2017,Hydrogen and Fuel Cells,2.5
CZE,2017,Industry Energy Efficiency or substitution,0.25
CZE,2017,Nuclear,2.5
CZE,2017,Other Energy Efficiency ,2.5
CZE,2017,Other Renewables,1.0
CZE,2017,Other Road Transport,17.25
CZE,2017,Solar,2.25
CZE,2017,Storage (not electromobility),4.14
CZE,2017,Wind,2.0
CZE,2018,Air - Rail - Marine,0.33
CZE,2018,All technologies (total patents),454.82
CZE,2018,Building Energy Efficiency,7.5
CZE,2018,Carbon Capture and Storage,0.33
CZE,2018,Hybrid - Electric - Electromobility,4.98
CZE,2018,Hydrogen and Fuel Cells,1.16
CZE,2018,Industry Energy Efficiency or substitution,2.75
CZE,2018,Nuclear,1.0
CZE,2018,Other Energy Efficiency ,0.5
CZE,2018,Other Road Transport,11.33
CZE,2018,Renewable Energy Integration in Buildings,1.0
CZE,2018,Solar,2.0
CZE,2018,Storage (not electromobility),7.58
CZE,2019,Air - Rail - Marine,1.67
CZE,2019,All technologies (total patents),457.92
CZE,2019,Bioenergy,2.0
CZE,2019,Building Energy Efficiency,9.5
CZE,2019,Carbon Capture and Storage,0.5
CZE,2019,Hybrid - Electric - Electromobility,7.18
CZE,2019,Hydrogen and Fuel Cells,0.5
CZE,2019,Industry Energy Efficiency or substitution,3.0
CZE,2019,Nuclear,1.5
CZE,2019,Other Energy Efficiency ,1.83
CZE,2019,Other Road Transport,3.5
CZE,2019,Solar,2.33
CZE,2019,Storage (not electromobility),4.17
DEU,1990,Air - Rail - Marine,16.5
DEU,1990,All technologies (total patents),17392.15
DEU,1990,Bioenergy,12.0
DEU,1990,Building Energy Efficiency,69.5
DEU,1990,Carbon Capture and Storage,3.0
DEU,1990,Grid,7.5
DEU,1990,Hybrid - Electric - Electromobility,23.0
DEU,1990,Hydro,5.0
DEU,1990,Hydrogen and Fuel Cells,20.5
DEU,1990,Industry Energy Efficiency or substitution,71.83
DEU,1990,Nuclear,32.5
DEU,1990,Other Energy Efficiency ,34.0
DEU,1990,Other Renewables,4.0
DEU,1990,Other Road Transport,142.5
DEU,1990,Renewable Energy Integration in Buildings,13.5
DEU,1990,Solar,39.0
DEU,1990,Storage (not electromobility),54.5
DEU,1990,Wind,7.0
DEU,2000,Air - Rail - Marine,59.5
DEU,2000,All technologies (total patents),30373.99
DEU,2000,Bioenergy,34.66
DEU,2000,Building Energy Efficiency,153.25
DEU,2000,Carbon Capture and Storage,12.58
DEU,2000,Grid,18.83
DEU,2000,Hybrid - Electric - Electromobility,90.83
DEU,2000,Hydro,6.0
DEU,2000,Hydrogen and Fuel Cells,272.08
DEU,2000,Industry Energy Efficiency or substitution,110.12
DEU,2000,Nuclear,13.33
DEU,2000,Other Energy Efficiency ,72.17
DEU,2000,Other Renewables,6.0
DEU,2000,Other Road Transport,435.37
DEU,2000,Renewable Energy Integration in Buildings,24.0
DEU,2000,Solar,85.0
DEU,2000,Storage (not electromobility),80.83
DEU,2000,Wind,69.0
DEU,2005,Air - Rail - Marine,158.91000000000003
DEU,2005,All technologies (total patents),32642.66
DEU,2005,Bioenergy,67.84
DEU,2005,Building Energy Efficiency,206.11999999999998
DEU,2005,Carbon Capture and Storage,10.83
DEU,2005,Grid,19.58
DEU,2005,Hybrid - Electric - Electromobility,184.5
DEU,2005,Hydro,8.0
DEU,2005,Hydrogen and Fuel Cells,230.16000000000003
DEU,2005,Industry Energy Efficiency or substitution,113.72
DEU,2005,Nuclear,26.08
DEU,2005,Other Energy Efficiency ,81.36
DEU,2005,Other Renewables,13.0
DEU,2005,Other Road Transport,426.98
DEU,2005,Renewable Energy Integration in Buildings,49.67
DEU,2005,Solar,216.55999999999997
DEU,2005,Storage (not electromobility),120.08
DEU,2005,Wind,78.17
DEU,2010,Agriculture Energy Efficiency,2.0
DEU,2010,Air - Rail - Marine,262.16
DEU,2010,All technologies (total patents),32943.17
DEU,2010,Bioenergy,128.64
DEU,2010,Building Energy Efficiency,313.64
DEU,2010,Carbon Capture and Storage,46.92
DEU,2010,Grid,44.83
DEU,2010,Hybrid - Electric - Electromobility,601.8299999999999
DEU,2010,Hydro,40.23
DEU,2010,Hydrogen and Fuel Cells,241.04000000000002
DEU,2010,Industry Energy Efficiency or substitution,182.29
DEU,2010,Nuclear,23.5
DEU,2010,Other Energy Efficiency ,168.01
DEU,2010,Other Renewables,32.7
DEU,2010,Other Road Transport,549.82
DEU,2010,Renewable Energy Integration in Buildings,165.67
DEU,2010,Solar,729.1700000000001
DEU,2010,Storage (not electromobility),527.95
DEU,2010,Wind,339.65
DEU,2015,Agriculture Energy Efficiency,4.0
DEU,2015,Air - Rail - Marine,186.87
DEU,2015,All technologies (total patents),30629.96
DEU,2015,Bioenergy,70.17
DEU,2015,Building Energy Efficiency,281.83
DEU,2015,Carbon Capture and Storage,23.0
DEU,2015,Grid,42.33
DEU,2015,Hybrid - Electric - Electromobility,507.75
DEU,2015,Hydro,21.0
DEU,2015,Hydrogen and Fuel Cells,202.25
DEU,2015,Industry Energy Efficiency or substitution,273.33
DEU,2015,Nuclear,18.5
DEU,2015,Other Energy Efficiency ,123.5
DEU,2015,Other Renewables,13.5
DEU,2015,Other Road Transport,553.0
DEU,2015,Renewable Energy Integration in Buildings,45.5
DEU,2015,Solar,314.03
DEU,2015,Storage (not electromobility),473.25
DEU,2015,Wind,179.5
DEU,2016,Agriculture Energy Efficiency,4.0
DEU,2016,Air - Rail - Marine,164.83
DEU,2016,All technologies (total patents),31057.21
DEU,2016,Bioenergy,41.0
DEU,2016,Building Energy Efficiency,272.41999999999996
DEU,2016,Carbon Capture and Storage,23.33
DEU,2016,Grid,41.0
DEU,2016,Hybrid - Electric - Electromobility,650.78
DEU,2016,Hydro,12.0
DEU,2016,Hydrogen and Fuel Cells,207.75
DEU,2016,Industry Energy Efficiency or substitution,335.45
DEU,2016,Nuclear,7.5
DEU,2016,Other Energy Efficiency ,140.58
DEU,2016,Other Renewables,5.33
DEU,2016,Other Road Transport,529.25
DEU,2016,Renewable Energy Integration in Buildings,42.5
DEU,2016,Solar,242.7
DEU,2016,Storage (not electromobility),539.23
DEU,2016,Wind,241.08
DEU,2017,Agriculture Energy Efficiency,2.0
DEU,2017,Air - Rail - Marine,164.92
DEU,2017,All technologies (total patents),31915.95
DEU,2017,Bioenergy,68.5
DEU,2017,Building Energy Efficiency,252.87
DEU,2017,Carbon Capture and Storage,13.5
DEU,2017,Grid,46.0
DEU,2017,Hybrid - Electric - Electromobility,889.98
DEU,2017,Hydro,15.67
DEU,2017,Hydrogen and Fuel Cells,241.25
DEU,2017,Industry Energy Efficiency or substitution,349.99
DEU,2017,Nuclear,11.33
DEU,2017,Other Energy Efficiency ,101.13
DEU,2017,Other Renewables,11.0
DEU,2017,Other Road Transport,538.67
DEU,2017,Renewable Energy Integration in Buildings,46.83
DEU,2017,Solar,254.86
DEU,2017,Storage (not electromobility),690.51
DEU,2017,Wind,256.2
DEU,2018,Agriculture Energy Efficiency,1.0
DEU,2018,Air - Rail - Marine,183.83
DEU,2018,All technologies (total patents),31248.07
DEU,2018,Bioenergy,35.0
DEU,2018,Building Energy Efficiency,255.57999999999998
DEU,2018,Carbon Capture and Storage,19.67
DEU,2018,Grid,49.33
DEU,2018,Hybrid - Electric - Electromobility,908.25
DEU,2018,Hydro,14.0
DEU,2018,Hydrogen and Fuel Cells,305.33000000000004
DEU,2018,Industry Energy Efficiency or substitution,339.73
DEU,2018,Nuclear,9.5
DEU,2018,Other Energy Efficiency ,111.6
DEU,2018,Other Renewables,7.5
DEU,2018,Other Road Transport,623.92
DEU,2018,Renewable Energy Integration in Buildings,47.5
DEU,2018,Solar,215.64
DEU,2018,Storage (not electromobility),719.73
DEU,2018,Wind,264.75
DEU,2019,Agriculture Energy Efficiency,1.5
DEU,2019,Air - Rail - Marine,145.92000000000002
DEU,2019,All technologies (total patents),29900.33
DEU,2019,Bioenergy,24.0
DEU,2019,Building Energy Efficiency,242.07999999999998
DEU,2019,Carbon Capture and Storage,16.0
DEU,2019,Grid,39.83
DEU,2019,Hybrid - Electric - Electromobility,889.11
DEU,2019,Hydro,14.0
DEU,2019,Hydrogen and Fuel Cells,287.67
DEU,2019,Industry Energy Efficiency or substitution,323.84000000000003
DEU,2019,Nuclear,9.5
DEU,2019,Other Energy Efficiency ,108.14
DEU,2019,Other Renewables,8.5
DEU,2019,Other Road Transport,310.05
DEU,2019,Renewable Energy Integration in Buildings,34.5
DEU,2019,Solar,174.23
DEU,2019,Storage (not electromobility),603.57
DEU,2019,Wind,194.58
